,annotated,predicted,delta
GSM1500897,62.0,50.427487248719935,11.572512751280065
GSM1572566,50.3,52.244999281542796,-1.944999281542799
GSM1500953,41.0,58.32113120136311,-17.32113120136311
GSM992007,78.0,61.897793871975246,16.102206128024754
GSM1174868,51.0,50.17727554342358,0.8227244565764167
GSM1865191,35.0,30.060967181909582,4.939032818090418
GSM1225838,62.0,58.145816069273245,3.854183930726755
GSM1467112,69.29315068,65.98428016865066,3.3088705113493404
GSM1572540,52.6,46.530783109745904,6.069216890254097
GSM992008,46.0,49.236468836591875,-3.2364688365918752
GSM959379,72.0,59.40378756951235,12.596212430487647
GSM2080134,76.0,72.06810771588081,3.9318922841191863
GSM1024974,36.0,36.87098593003717,-0.8709859300371718
GSM959438,64.0,79.6888034292262,-15.688803429226198
GSM1536322,36.0,27.833893929954108,8.166106070045892
GSM1500944,57.0,59.879530004824865,-2.879530004824865
GSM2089058,34.0,33.763277420250944,0.2367225797490562
GSM1174920,38.0,40.120785537572,-2.1207855375719973
GSM959436,57.0,64.03734020757167,-7.037340207571674
GSM2186702,38.0,39.21884928218197,-1.2188492821819708
GSM1438245,53.38554217,50.36050986112556,3.0250323088744437
GSM1228991,22.0,37.985403322487265,-15.985403322487265
GSM1024913,46.0,48.506077769677226,-2.5060777696772263
GSM2080263,66.0,69.53913351794819,-3.539133517948187
GSM1500955,43.0,43.219002929853254,-0.21900292985325365
GSM2089064,34.0,33.119901210988836,0.8800987890111642
GSM1653413,52.0,54.38576093325691,-2.385760933256911
GSM1500894,43.0,42.1979335741216,0.8020664258784009
GSM1003839,60.0,59.969497560224646,0.030502439775354162
GSM1546408,59.0,50.35560311425986,8.644396885740143
GSM1467057,32.54246575,52.099893951250884,-19.557428201250886
GSM1467200,72.0,59.85677750857692,12.143222491423082
GSM1865202,32.0,33.96522149384893,-1.9652214938489294
GSM2080094,74.0,72.88582914752692,1.1141708524730802
GSM959555,53.0,64.34443140117878,-11.344431401178781
GSM1299823,52.0,54.60899985271113,-2.608999852711129
GSM2080226,67.0,64.60991250820345,2.3900874917965496
GSM1438282,41.0,45.91003243510895,-4.910032435108953
GSM1572853,53.0,53.27796585669616,-0.2779658566961629
GSM1653437,42.0,44.55483723482963,-2.554837234829627
GSM1572926,80.0,73.772819872556,6.227180127444001
GSM1546402,64.0,57.123684430214645,6.876315569785355
GSM1438211,68.46878423,54.68564881730415,13.783135412695849
GSM992028,64.0,66.34749684698525,-2.3474968469852513
GSM1281208,75.0,61.05532678698915,13.944673213010851
GSM1500896,71.0,59.39751169727199,11.602488302728013
GSM1438215,59.02573932,53.003703653688554,6.022035666311446
GSM1963611,70.0,57.894608560844084,12.105391439155916
GSM959351,59.0,65.68761401797912,-6.687614017979115
GSM959424,69.0,58.476129090446314,10.523870909553686
GSM959814,58.79,72.92747439467928,-14.13747439467928
GSM1003870,57.0,56.94384062398179,0.05615937601820775
GSM959547,65.0,61.43937947018227,3.560620529817733
GSM2080286,65.0,66.72777455850277,-1.727774558502773
GSM1865192,29.0,36.40459955749602,-7.40459955749602
GSM1500965,34.0,38.080041707365005,-4.080041707365005
GSM2080246,66.0,70.82888159857185,-4.828881598571854
GSM959834,58.0,53.51065294842413,4.489347051575869
GSM1024978,35.0,38.08694395943076,-3.086943959430762
GSM1500910,76.0,64.93101670876194,11.068983291238055
GSM2080059,77.0,65.36592211305984,11.634077886940162
GSM1467065,56.0,54.03106078795174,1.9689392120482623
GSM2080227,40.0,56.03181433600131,-16.03181433600131
GSM1320510,30.0,49.13686515663441,-19.136865156634407
GSM1299689,80.0,65.41791266299336,14.58208733700664
GSM1572976,38.0,41.97935906926494,-3.9793590692649374
GSM1025004,43.0,38.468868037387956,4.531131962612044
GSM1573070,64.0,57.84815289746589,6.151847102534113
GSM991992,35.0,42.44001987000282,-7.440019870002821
GSM1009696,34.0,34.27301787661982,-0.2730178766198179
GSM959793,68.9,65.7573074833812,3.1426925166188084
GSM1860461,39.0,41.34643222471967,-2.3464322247196705
GSM2080042,63.0,62.54015190472757,0.4598480952724273
GSM2089077,36.0,37.58963642104674,-1.589636421046741
GSM1003844,75.0,74.72394625684103,0.27605374315896825
GSM1225471,64.0,64.83561171168557,-0.8356117116855728
GSM1865156,29.0,34.19721905875334,-5.1972190587533404
GSM1467177,62.0,59.93178518233395,2.0682148176660533
GSM1438218,59.48411829,52.9071648452068,6.576953444793197
GSM1225728,45.0,48.290550931894806,-3.2905509318948063
GSM1466968,39.20821918,55.7030148949131,-16.494795714913103
GSM2080089,68.0,68.98800572611873,-0.9880057261187289
GSM1283246,36.0,47.242662537912004,-11.242662537912004
GSM1438216,36.09748083,43.008326285541024,-6.910845455541022
GSM1104654,20.0,19.941229704476306,0.058770295523693505
GSM2146825,42.0,30.936448486761208,11.063551513238792
GSM1496831,75.0,72.5330572115864,2.466942788413604
GSM1024960,48.0,50.99997877618923,-2.9999787761892307
GSM1860463,23.0,34.099296744733316,-11.099296744733316
GSM2080093,61.0,65.06425811411754,-4.064258114117536
GSM2089056,27.0,33.55633305950489,-6.556333059504887
GSM1024919,21.0,21.436177624381692,-0.43617762438169194
GSM2089096,60.0,56.79437030566134,3.2056296943386613
GSM2080120,78.0,72.85654521038626,5.143454789613742
GSM1496822,74.0,66.84422200449293,7.155777995507066
GSM1225462,60.0,68.30632627852154,-8.306326278521539
GSM959851,44.0,51.89222583388396,-7.892225833883963
GSM992004,55.0,57.41989816042379,-2.4198981604237915
GSM2080166,74.0,70.12875771665173,3.8712422833482663
GSM1573012,58.0,57.627160167782144,0.3728398322178563
GSM2334782,53.06,64.38232428392263,-11.322324283922626
GSM1467195,47.0,49.85444240455974,-2.854442404559741
GSM991999,60.0,64.76842597972615,-4.768425979726146
GSM2334793,55.83,49.70870153367232,6.12129846632768
GSM1573038,58.0,58.924293245183954,-0.9242932451839536
GSM1831342,52.0,56.67562223184476,-4.675622231844763
GSM1320521,48.0,51.96921329100049,-3.969213291000493
GSM1229003,30.0,44.934115176048884,-14.934115176048884
GSM2080199,60.0,65.39576504525215,-5.395765045252148
GSM1865214,40.0,29.72969189438168,10.27030810561832
GSM1466990,72.59726027,67.40453298004562,5.192727289954391
GSM1500891,64.0,54.12824454989815,9.871755450101851
GSM1467063,74.0,67.55242194205354,6.447578057946458
GSM1024916,26.0,25.476124645667326,0.5238753543326737
GSM2080116,67.0,66.56720714011823,0.4327928598817721
GSM2089086,63.0,51.881712657598506,11.118287342401494
GSM959410,73.0,77.10660961805402,-4.106609618054023
GSM1496812,73.0,55.62638679750038,17.37361320249962
GSM959439,62.0,51.5915920077857,10.4084079922143
GSM1438273,48.2026287,48.74769381912409,-0.5450651191240894
GSM1500875,46.0,48.71711449336656,-2.7171144933665587
GSM1003858,21.0,22.778540016031826,-1.778540016031826
GSM1281198,61.0,63.57926065899786,-2.5792606589978604
GSM2089104,35.0,36.26464144120582,-1.2646414412058178
GSM1283249,56.0,48.939037435931716,7.060962564068284
GSM959533,45.0,58.83111646297764,-13.83111646297764
GSM1244499,25.0,28.55985061593698,-3.5598506159369805
GSM1225884,58.0,54.706485531138675,3.293514468861325
GSM959553,60.0,58.92977452126832,1.070225478731679
GSM2080248,61.0,64.24224495598287,-3.242244955982869
GSM2080125,67.0,65.52423418120691,1.4757658187930929
GSM1024909,26.0,19.406036454486568,6.593963545513432
GSM1301990,60.0,55.711067340114376,4.288932659885624
GSM2089052,53.0,45.95037692014383,7.049623079856168
GSM1500901,65.0,62.17426841875709,2.8257315812429127
GSM1003849,41.0,38.875214861002256,2.124785138997744
GSM959443,78.0,62.39051824992912,15.609481750070877
GSM1024933,21.0,25.382784810101626,-4.382784810101626
GSM1467101,71.88767123,56.4668438623543,15.420827367645693
GSM992031,53.0,51.01451450903165,1.985485490968351
GSM1467113,79.58082192,72.69624346529554,6.884578454704467
GSM1003863,45.0,46.924180980912915,-1.9241809809129151
GSM959414,62.0,63.37076932107335,-1.3707693210733467
GSM1024952,31.0,38.000787222524316,-7.000787222524316
GSM1024894,42.0,40.36902612001601,1.6309738799839906
GSM959360,59.0,44.738282317725584,14.261717682274416
GSM1499375,31.0,35.52205291648477,-4.522052916484768
GSM1536352,39.0,25.313469157392838,13.686530842607162
GSM2334790,52.0,56.467695012143416,-4.467695012143416
GSM1024954,41.0,40.50624369476741,0.49375630523258707
GSM2089108,37.0,35.77973974370089,1.2202602562991132
GSM2080186,74.0,72.73349749726131,1.266502502738689
GSM1281112,46.0,55.4829063935046,-9.4829063935046
GSM1225870,58.0,55.27108930622156,2.728910693778438
GSM959850,64.0,66.0187712285111,-2.018771228511099
GSM1496833,74.0,63.72169581223172,10.278304187768278
GSM991994,51.0,59.471239469430394,-8.471239469430394
GSM2080149,60.0,61.93905427655118,-1.9390542765511825
GSM959506,65.0,76.93635181813593,-11.936351818135932
GSM1500966,43.0,59.464345637362406,-16.464345637362406
GSM1024925,47.0,46.7650738549843,0.23492614501569875
GSM1467179,44.0,47.25799999667553,-3.2579999966755295
GSM1024998,50.0,50.34161074226693,-0.3416107422669299
GSM1003876,56.0,56.867631334097716,-0.867631334097716
GSM2080211,67.0,61.576405054117124,5.423594945882876
GSM1500952,49.0,47.64991220475206,1.350087795247937
GSM1104646,20.0,22.20983488717883,-2.209834887178829
GSM2080194,66.0,60.11334035659774,5.886659643402261
